Date,CPI
1/1/1999,164.3
2/1/1999,164.5
3/1/1999,165.0
4/1/1999,166.2
5/1/1999,166.2
6/1/1999,166.2
7/1/1999,166.7
8/1/1999,167.1
9/1/1999,167.9
10/1/1999,168.2
11/1/1999,168.3
12/1/1999,168.3
1/1/2000,168.8
2/1/2000,169.8
3/1/2000,171.2
4/1/2000,171.3
5/1/2000,171.5
6/1/2000,172.4
7/1/2000,172.8
8/1/2000,172.8
9/1/2000,173.7
10/1/2000,174.0
11/1/2000,174.1
12/1/2000,174.0
1/1/2001,175.1
2/1/2001,175.8
3/1/2001,176.2
4/1/2001,176.9
5/1/2001,177.7
6/1/2001,178.0
7/1/2001,177.5
8/1/2001,177.5
9/1/2001,178.3
10/1/2001,177.7
11/1/2001,177.4
12/1/2001,176.7
1/1/2002,177.1
2/1/2002,177.8
3/1/2002,178.8
4/1/2002,179.8
5/1/2002,179.8
6/1/2002,179.9
7/1/2002,180.1
8/1/2002,180.7
9/1/2002,181.0
10/1/2002,181.3
11/1/2002,181.3
12/1/2002,180.9
1/1/2003,181.7
2/1/2003,183.1
3/1/2003,184.2
4/1/2003,183.8
5/1/2003,183.5
6/1/2003,183.7
7/1/2003,183.9
8/1/2003,184.6
9/1/2003,185.2
10/1/2003,185.0
11/1/2003,184.5
12/1/2003,184.3
1/1/2004,185.2
2/1/2004,186.2
3/1/2004,187.4
4/1/2004,188.0
5/1/2004,189.1
6/1/2004,189.7
7/1/2004,189.4
8/1/2004,189.5
9/1/2004,189.9
10/1/2004,190.9
11/1/2004,191.0
12/1/2004,190.3
1/1/2005,190.7
2/1/2005,191.8
3/1/2005,193.3
4/1/2005,194.6
5/1/2005,194.4
6/1/2005,194.5
7/1/2005,195.4
8/1/2005,196.4
9/1/2005,198.8
10/1/2005,199.2
11/1/2005,197.6
12/1/2005,196.8
1/1/2006,198.3
2/1/2006,198.7
3/1/2006,199.8
4/1/2006,201.5
5/1/2006,202.5
6/1/2006,202.9
7/1/2006,203.5
8/1/2006,203.9
9/1/2006,202.9
10/1/2006,201.8
11/1/2006,201.5
12/1/2006,201.8
1/1/2007,202.416
2/1/2007,203.499
3/1/2007,205.352
4/1/2007,206.686
5/1/2007,207.949
6/1/2007,208.352
7/1/2007,208.299
8/1/2007,207.917
9/1/2007,208.490
10/1/2007,208.936
11/1/2007,210.177
12/1/2007,210.036
1/1/2008,211.080
2/1/2008,211.693
3/1/2008,213.528
4/1/2008,214.823
5/1/2008,216.632
6/1/2008,218.815
7/1/2008,219.964
8/1/2008,219.086
9/1/2008,218.783
10/1/2008,216.573
11/1/2008,212.425
12/1/2008,210.228
1/1/2009,211.143
2/1/2009,212.193
3/1/2009,212.709
4/1/2009,213.240
5/1/2009,213.856
6/1/2009,215.693
7/1/2009,215.351
8/1/2009,215.834
9/1/2009,215.969
10/1/2009,216.177
11/1/2009,216.330
12/1/2009,215.949
1/1/2010,216.687
2/1/2010,216.741
3/1/2010,217.631
4/1/2010,218.009
5/1/2010,218.178
6/1/2010,217.965
7/1/2010,218.011
8/1/2010,218.312
9/1/2010,218.439
10/1/2010,218.711
11/1/2010,218.803
12/1/2010,219.179
1/1/2011,220.223
2/1/2011,221.309
3/1/2011,223.467
4/1/2011,224.906
5/1/2011,225.964
6/1/2011,225.722
7/1/2011,225.922
8/1/2011,226.545
9/1/2011,226.889
10/1/2011,226.421
11/1/2011,226.230
12/1/2011,225.672
1/1/2012,226.665
2/1/2012,227.663
3/1/2012,229.392
4/1/2012,230.085
5/1/2012,229.815
6/1/2012,229.478
7/1/2012,229.104
8/1/2012,230.379
9/1/2012,231.407
10/1/2012,231.317
11/1/2012,230.221
12/1/2012,229.601
1/1/2013,230.280
2/1/2013,232.166
3/1/2013,232.773
4/1/2013,232.531
5/1/2013,232.945
6/1/2013,233.504
7/1/2013,233.596
8/1/2013,233.877
9/1/2013,234.149
10/1/2013,233.546
11/1/2013,233.069
12/1/2013,233.049
1/1/2014,233.916
2/1/2014,234.781
3/1/2014,236.293
4/1/2014,237.072
5/1/2014,237.900
6/1/2014,238.343
7/1/2014,238.250
8/1/2014,237.852
9/1/2014,238.031
10/1/2014,237.433
11/1/2014,236.151
12/1/2014,234.812
1/1/2015,233.707
2/1/2015,234.722
3/1/2015,236.119
4/1/2015,236.599
5/1/2015,237.805
6/1/2015,238.638
7/1/2015,238.654
8/1/2015,238.316
9/1/2015,237.945
10/1/2015,237.838
11/1/2015,237.336
12/1/2015,236.525
1/1/2016,236.916
2/1/2016,237.111
3/1/2016,238.132
4/1/2016,239.261
5/1/2016,240.229
6/1/2016,241.018
7/1/2016,240.628
8/1/2016,240.849
9/1/2016,241.428
10/1/2016,241.729
11/1/2016,241.353
12/1/2016,241.432
1/1/2017,242.839
2/1/2017,243.603
3/1/2017,243.801
4/1/2017,244.524
5/1/2017,244.733
6/1/2017,244.955
7/1/2017,244.786
8/1/2017,245.519
9/1/2017,246.819
10/1/2017,246.663
11/1/2017,246.669
12/1/2017,246.524
1/1/2018,247.867
2/1/2018,248.991
3/1/2018,249.554
4/1/2018,250.546
5/1/2018,251.588
6/1/2018,251.989
7/1/2018,252.006
8/1/2018,252.146
9/1/2018,252.439
10/1/2018,252.885
11/1/2018,252.038
12/1/2018,251.233
1/1/2019,251.712
2/1/2019,252.776
3/1/2019,254.202
4/1/2019,255.548
5/1/2019,256.092
6/1/2019,256.143
7/1/2019,256.571
8/1/2019,256.558
9/1/2019,256.759
10/1/2019,257.346
11/1/2019,257.208
12/1/2019,256.974
1/1/2020,257.971
2/1/2020,258.678
3/1/2020,258.115
4/1/2020,256.389
5/1/2020,256.394
6/1/2020,257.797
7/1/2020,259.101
8/1/2020,259.918
9/1/2020,260.280
10/1/2020,260.388
11/1/2020,260.229
12/1/2020,260.474
1/1/2021,261.582
2/1/2021,263.014
3/1/2021,264.877
4/1/2021,267.054
5/1/2021,269.195
6/1/2021,271.696
7/1/2021,273.003
8/1/2021,273.567
9/1/2021,274.310
10/1/2021,276.589
11/1/2021,277.948
12/1/2021,278.802
1/1/2022,281.148
2/1/2022,283.716
3/1/2022,287.504
4/1/2022,289.109
5/1/2022,292.296
6/1/2022,296.311
7/1/2022,296.276
8/1/2022,296.171
9/1/2022,296.808
10/1/2022,298.012
11/1/2022,297.711
12/1/2022,296.797
1/1/2023,299.170
2/1/2023,300.840
3/1/2023,301.836
4/1/2023,303.363
5/1/2023,304.127
6/1/2023,305.109
7/1/2023,305.691
8/1/2023,307.026
9/1/2023,307.789
10/1/2023,307.671
11/1/2023,307.051
12/1/2023,306.746
1/1/2024,308.417
2/1/2024,310.326
3/1/2024,312.332
4/1/2024,313.548
5/1/2024,314.069
6/1/2024,314.175
7/1/2024,314.540
8/1/2024,314.796
9/1/2024,315.301
10/1/2024,315.664
11/1/2024,315.493
12/1/2024,315.605